id,longitude,latitude,density
0,-123.08698672093024,49.33472551315789,48
1,-123.08010360465117,49.33472551315789,22
2,-123.0732204883721,49.33472551315789,65
3,-123.06633737209303,49.33472551315789,17
4,-123.05945425581396,49.33472551315789,48
5,-123.05257113953489,49.33472551315789,58
6,-123.27283086046512,49.330118802631574,71
7,-123.10075295348838,49.330118802631574,4
8,-123.09386983720931,49.330118802631574,77
9,-123.08698672093024,49.330118802631574,22
10,-123.08010360465117,49.330118802631574,7
11,-123.0732204883721,49.330118802631574,33
12,-123.06633737209303,49.330118802631574,16
13,-123.05945425581396,49.330118802631574,1
14,-123.05257113953489,49.330118802631574,9
15,-123.27283086046512,49.32551209210526,264
16,-123.10075295348838,49.32551209210526,19
17,-123.09386983720931,49.32551209210526,13
18,-123.08698672093024,49.32551209210526,9
19,-123.08010360465117,49.32551209210526,5
20,-123.0732204883721,49.32551209210526,107
21,-123.06633737209303,49.32551209210526,55
22,-123.05945425581396,49.32551209210526,13
23,-123.05257113953489,49.32551209210526,10
24,-123.10075295348838,49.320905381578946,134
25,-123.09386983720931,49.320905381578946,44
26,-123.08698672093024,49.320905381578946,15
27,-123.08010360465117,49.320905381578946,25
28,-123.0732204883721,49.320905381578946,149
29,-123.06633737209303,49.320905381578946,86
30,-123.05945425581396,49.320905381578946,7
31,-123.05257113953489,49.320905381578946,7
32,-123.10075295348838,49.31629867105263,19
33,-123.09386983720931,49.31629867105263,30
34,-123.08698672093024,49.31629867105263,38
35,-123.08010360465117,49.31629867105263,103
36,-123.0732204883721,49.31629867105263,88
37,-123.06633737209303,49.31629867105263,86
38,-123.05945425581396,49.31629867105263,9
39,-123.05257113953489,49.31629867105263,21
40,-123.04568802325582,49.31629867105263,3
41,-123.03880490697675,49.31629867105263,2
42,-123.10075295348838,49.31169196052631,8
43,-123.09386983720931,49.31169196052631,11
44,-123.08698672093024,49.31169196052631,11
45,-123.08010360465117,49.31169196052631,380
46,-123.0732204883721,49.31169196052631,152
47,-123.06633737209303,49.31169196052631,28
48,-123.05945425581396,49.31169196052631,18
49,-123.05257113953489,49.31169196052631,30
50,-123.04568802325582,49.31169196052631,10
51,-123.03880490697675,49.31169196052631,16
52,-123.03192179069768,49.31169196052631,17
53,-123.08010360465117,49.30708525,5
54,-123.0732204883721,49.30708525,109
55,-123.06633737209303,49.30708525,36
56,-123.05945425581396,49.30708525,8
57,-123.04568802325582,49.30708525,6
58,-123.03880490697675,49.30708525,42
59,-123.03192179069768,49.30708525,96
60,-123.02503867441861,49.30247853947368,3
61,-123.13516853488373,49.297871828947365,2
62,-123.14893476744187,49.29326511842105,3
63,-123.1420516511628,49.29326511842105,48
64,-123.13516853488373,49.29326511842105,151
65,-123.1420516511628,49.28865840789474,480
66,-123.13516853488373,49.28865840789474,638
67,-123.12828541860466,49.28865840789474,489
68,-123.12140230232559,49.28865840789474,897
69,-123.11451918604652,49.28865840789474,32
